BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,COLLISION_ID
BROOKLYN,0,0,4267649
QUEENS,0,0,4268937
QUEENS,0,0,4270271
QUEENS,0,0,4268926
BRONX,1,0,4267926
BROOKLYN,0,0,4268019
BROOKLYN,0,0,4267687
BRONX,0,0,4268081
QUEENS,0,0,4268960
BROOKLYN,0,0,4267644
QUEENS,0,0,4268485
BROOKLYN,2,0,4267602
QUEENS,0,0,4267812
BRONX,0,0,4381191
QUEENS,0,0,4268789
MANHATTAN,0,0,4381371
BROOKLYN,0,0,4267894
MANHATTAN,1,0,4268969
BRONX,0,0,4267996
QUEENS,0,0,4267681
BROOKLYN,0,0,4267767
BRONX,0,0,4267754
BRONX,0,0,4267567
QUEENS,3,0,4267674
BROOKLYN,1,0,4267710
BROOKLYN,0,0,4267946
BROOKLYN,0,0,4267756
BROOKLYN,0,0,4267475
BRONX,0,0,4267611
BROOKLYN,0,0,4268119
QUEENS,1,0,4267793
QUEENS,0,0,4267440
QUEENS,0,0,4267758
BRONX,0,0,4268162
BROOKLYN,0,0,4267773
QUEENS,0,0,4267540
QUEENS,0,0,4268003
MANHATTAN,0,0,4268254
BRONX,0,0,4267738
MANHATTAN,0,0,4267808
BRONX,0,0,4267561
QUEENS,0,0,4267742
BROOKLYN,0,0,4270827
QUEENS,0,0,4268790
BROOKLYN,1,0,4267705
BROOKLYN,1,0,4268208
BRONX,0,0,4267930
MANHATTAN,0,0,4267538
BROOKLYN,0,0,4271424
QUEENS,0,0,4267672
BROOKLYN,0,0,4273203
QUEENS,0,0,4269536
BROOKLYN,0,0,4269808
QUEENS,1,0,4267844
BROOKLYN,1,0,4283011
BROOKLYN,0,0,4268112
QUEENS,0,0,4267913
BROOKLYN,0,0,4270028
QUEENS,1,0,4267670
QUEENS,0,0,4267744
QUEENS,2,0,4267457
QUEENS,0,0,4267802
BROOKLYN,0,0,4271964
BROOKLYN,0,0,4267442
MANHATTAN,1,0,4267922
BROOKLYN,0,0,4268050
BROOKLYN,0,0,4267763
BROOKLYN,0,0,4267655
MANHATTAN,0,0,4267541
BROOKLYN,1,0,4268364
MANHATTAN,0,0,4267979
BRONX,0,0,4267840
BROOKLYN,0,0,4267659
BROOKLYN,1,0,4268056
BRONX,0,0,4269230
QUEENS,1,0,4269580
QUEENS,2,0,4268376
BROOKLYN,0,0,4267648
BRONX,0,0,4267722
BRONX,0,0,4268326
BRONX,1,0,4267730
QUEENS,0,0,4270296
BROOKLYN,0,0,4268220
MANHATTAN,1,0,4267640
BROOKLYN,0,0,4268059
QUEENS,0,0,4267702
BROOKLYN,0,0,4267770
BRONX,0,0,4268335
BRONX,0,0,4268083
QUEENS,0,0,4267781
MANHATTAN,0,0,4381300
BROOKLYN,0,0,4267954
QUEENS,0,0,4269269
BROOKLYN,0,0,4267759
BROOKLYN,0,0,4267766
MANHATTAN,0,0,4268309
BRONX,0,0,4381101
MANHATTAN,0,0,4267564
QUEENS,0,0,4267680
BROOKLYN,0,0,4267474
MANHATTAN,0,0,4268639
BROOKLYN,0,0,4267510
BROOKLYN,0,0,4267755
QUEENS,1,0,4273411
QUEENS,0,0,4363648
MANHATTAN,0,0,4267881
BRONX,0,0,4267714
QUEENS,1,0,4268274
QUEENS,0,0,4269889
BROOKLYN,4,0,4267902
QUEENS,0,0,4267619
BRONX,1,0,4267814
QUEENS,0,0,4267617
MANHATTAN,0,0,4267537
BRONX,0,0,4267642
BROOKLYN,0,0,4268049
STATEN ISLAND,1,0,4267671
BROOKLYN,0,0,4267683
QUEENS,0,0,4267616
QUEENS,0,0,4267620
QUEENS,0,0,4267607
BROOKLYN,1,0,4273656
BROOKLYN,0,0,4267891
BROOKLYN,0,0,4270771
QUEENS,0,0,4267836
BROOKLYN,1,0,4267776
QUEENS,0,0,4267691
BRONX,0,0,4267713
QUEENS,0,0,4267605
BROOKLYN,1,0,4267686
STATEN ISLAND,0,0,4269342
QUEENS,1,0,4270278
BROOKLYN,0,0,4271401
BRONX,1,0,4267596
BROOKLYN,1,0,4273458
QUEENS,0,0,4267613
MANHATTAN,0,0,4267479
BRONX,4,0,4267878
QUEENS,1,0,4267983
BROOKLYN,0,0,4267821
QUEENS,0,0,4267777
